"purl","group_id","artifact_id","git_url"
"pkg:maven/com.google.api-client/google-api-client-servlet","com.google.api-client","google-api-client-servlet","https://github.com/google/google-api-java-client"
"pkg:maven/com.networknt/health","com.networknt","health","https://github.com/networknt/light-4j"
"pkg:maven/org.grouplens.lenskit/lenskit-test","org.grouplens.lenskit","lenskit-test","https://github.com/lenskit/lenskit"
"pkg:maven/com.google.api-client/google-api-client-xml","com.google.api-client","google-api-client-xml","https://github.com/google/google-api-java-client"
"pkg:maven/com.networknt/security","com.networknt","security","https://github.com/networknt/light-4j"
"pkg:maven/com.tdunning/t-digest","com.tdunning","t-digest","https://github.com/tdunning/t-digest"
"pkg:maven/me.prettyprint/hector-core","me.prettyprint","hector-core","https://github.com/hector-client/hector"
"pkg:maven/com.networknt/audit","com.networknt","audit","https://github.com/networknt/light-4j"
"pkg:maven/com.networknt/validator","com.networknt","validator","https://github.com/networknt/light-4j"
"pkg:maven/com.networknt/consul","com.networknt","consul","https://github.com/networknt/light-4j"
"pkg:maven/com.github.rampo.updatechecker/library","com.github.rampo.updatechecker","library","https://github.com/rampo/UpdateChecker"
"pkg:maven/io.selendroid/selendroid-client","io.selendroid","selendroid-client","https://github.com/selendroid/selendroid"
"pkg:maven/com.twelvemonkeys.imageio/imageio-pcx","com.twelvemonkeys.imageio","imageio-pcx","https://github.com/haraldk/TwelveMonkeys"
"pkg:maven/com.twelvemonkeys.imageio/imageio-metadata","com.twelvemonkeys.imageio","imageio-metadata","https://github.com/haraldk/TwelveMonkeys"
"pkg:maven/com.twelvemonkeys.common/common-image","com.twelvemonkeys.common","common-image","https://github.com/haraldk/TwelveMonkeys"
"pkg:maven/com.twelvemonkeys.imageio/imageio-pnm","com.twelvemonkeys.imageio","imageio-pnm","https://github.com/haraldk/TwelveMonkeys"
"pkg:maven/com.twelvemonkeys.imageio/imageio-bmp","com.twelvemonkeys.imageio","imageio-bmp","https://github.com/haraldk/TwelveMonkeys"
"pkg:maven/com.twelvemonkeys.imageio/imageio-tiff","com.twelvemonkeys.imageio","imageio-tiff","https://github.com/haraldk/TwelveMonkeys"
"pkg:maven/com.twelvemonkeys.common/common-io","com.twelvemonkeys.common","common-io","https://github.com/haraldk/TwelveMonkeys"
"pkg:maven/com.twelvemonkeys.imageio/imageio-psd","com.twelvemonkeys.imageio","imageio-psd","https://github.com/haraldk/TwelveMonkeys"
"pkg:maven/com.twelvemonkeys.common/common-lang","com.twelvemonkeys.common","common-lang","https://github.com/haraldk/TwelveMonkeys"
"pkg:maven/com.twelvemonkeys.imageio/imageio-iff","com.twelvemonkeys.imageio","imageio-iff","https://github.com/haraldk/TwelveMonkeys"
"pkg:maven/com.codeborne/selenide","com.codeborne","selenide","https://github.com/codeborne/selenide"
"pkg:maven/com.fmsirvent/parallaxeverywhere","com.fmsirvent","parallaxeverywhere","https://github.com/Narfss/ParallaxEverywhere"
"pkg:maven/ro.pippo/pippo-tjws","ro.pippo","pippo-tjws","https://github.com/decebals/pippo"
"pkg:maven/ro.pippo/pippo-metrics-graphite","ro.pippo","pippo-metrics-graphite","https://github.com/decebals/pippo"
"pkg:maven/ro.pippo/pippo-csv","ro.pippo","pippo-csv","https://github.com/decebals/pippo"
"pkg:maven/ro.pippo/pippo-snakeyaml","ro.pippo","pippo-snakeyaml","https://github.com/decebals/pippo"
"pkg:maven/ro.pippo/pippo-undertow","ro.pippo","pippo-undertow","https://github.com/decebals/pippo"
"pkg:maven/ro.pippo/pippo-weld","ro.pippo","pippo-weld","https://github.com/decebals/pippo"
"pkg:maven/org.mitre/openid-connect-server-webapp","org.mitre","openid-connect-server-webapp","https://github.com/mitreid-connect/OpenID-Connect-Java-Spring-Server"
"pkg:maven/org.mitre/uma-server","org.mitre","uma-server","https://github.com/mitreid-connect/OpenID-Connect-Java-Spring-Server"
"pkg:maven/com.hannesdorfmann/swipeback","com.hannesdorfmann","swipeback","https://github.com/sockeqwe/SwipeBack"
"pkg:maven/org.mitre/openid-connect-parent","org.mitre","openid-connect-parent","https://github.com/mitreid-connect/OpenID-Connect-Java-Spring-Server"
"pkg:maven/org.mitre/openid-connect-client","org.mitre","openid-connect-client","https://github.com/mitreid-connect/OpenID-Connect-Java-Spring-Server"
"pkg:maven/org.mitre/openid-connect-server","org.mitre","openid-connect-server","https://github.com/mitreid-connect/OpenID-Connect-Java-Spring-Server"
"pkg:maven/org.infinispan/infinispan-cdi-embedded","org.infinispan","infinispan-cdi-embedded","https://github.com/infinispan/infinispan"
"pkg:maven/org.infinispan/infinispan-embedded","org.infinispan","infinispan-embedded","https://github.com/infinispan/infinispan"
"pkg:maven/org.infinispan/infinispan-query-dsl","org.infinispan","infinispan-query-dsl","https://github.com/infinispan/infinispan"
"pkg:maven/org.mitre/openid-connect-common","org.mitre","openid-connect-common","https://github.com/mitreid-connect/OpenID-Connect-Java-Spring-Server"
"pkg:maven/org.infinispan/infinispan-embedded-query","org.infinispan","infinispan-embedded-query","https://github.com/infinispan/infinispan"
"pkg:maven/org.infinispan/infinispan-jcache","org.infinispan","infinispan-jcache","https://github.com/infinispan/infinispan"
"pkg:maven/org.infinispan/infinispan-remote-query-client","org.infinispan","infinispan-remote-query-client","https://github.com/infinispan/infinispan"
"pkg:maven/org.pitest/pitest","org.pitest","pitest","https://github.com/hcoles/pitest"
"pkg:maven/com.survivingwithandroid/weatherlib_volleyclient","com.survivingwithandroid","weatherlib_volleyclient","https://github.com/survivingwithandroid/WeatherLib"
"pkg:maven/de.psdev.licensesdialog/licensesdialog","de.psdev.licensesdialog","licensesdialog","https://github.com/PSDev/LicensesDialog"
"pkg:maven/org.pitest/pitest-parent","org.pitest","pitest-parent","https://github.com/hcoles/pitest"
"pkg:maven/org.pitest/pitest-build-config","org.pitest","pitest-build-config","https://github.com/hcoles/pitest"
"pkg:maven/de.psdev.licensesdialog/parent","de.psdev.licensesdialog","parent","https://github.com/PSDev/LicensesDialog"
"pkg:maven/de.psdev.licensesdialog/sample","de.psdev.licensesdialog","sample","https://github.com/PSDev/LicensesDialog"
"pkg:maven/com.github.shyiko/mysql-binlog-connector-java","com.github.shyiko","mysql-binlog-connector-java","https://github.com/shyiko/mysql-binlog-connector-java"
"pkg:maven/com.jaredrummler/material-spinner","com.jaredrummler","material-spinner","https://github.com/jaredrummler/MaterialSpinner"
"pkg:maven/io.airlift/airline","io.airlift","airline","https://github.com/airlift/airline"
"pkg:maven/org.avaje.ebeanorm/avaje-ebeanorm","org.avaje.ebeanorm","avaje-ebeanorm","https://github.com/ebean-orm/ebean"
"pkg:maven/org.fluentlenium/fluentlenium-junit","org.fluentlenium","fluentlenium-junit","https://github.com/FluentLenium/FluentLenium"
"pkg:maven/org.fluentlenium/fluentlenium-testng","org.fluentlenium","fluentlenium-testng","https://github.com/FluentLenium/FluentLenium"
"pkg:maven/org.fluentlenium/fluentlenium-cucumber","org.fluentlenium","fluentlenium-cucumber","https://github.com/FluentLenium/FluentLenium"
"pkg:maven/org.fluentlenium/fluentlenium-assertj","org.fluentlenium","fluentlenium-assertj","https://github.com/FluentLenium/FluentLenium"
"pkg:maven/com.mpatric/mp3agic","com.mpatric","mp3agic","https://github.com/mpatric/mp3agic"
"pkg:maven/com.netflix.turbine/turbine-core","com.netflix.turbine","turbine-core","https://github.com/Netflix/Turbine"
"pkg:maven/io.opentracing/opentracing-api","io.opentracing","opentracing-api","https://github.com/opentracing/opentracing-java"
"pkg:maven/com.whalin/Memcached-Java-Client","com.whalin","Memcached-Java-Client","https://github.com/gwhalin/Memcached-Java-Client"
"pkg:maven/de.javakaffee.msm/memcached-session-manager-tc8","de.javakaffee.msm","memcached-session-manager-tc8","https://github.com/magro/memcached-session-manager"
"pkg:maven/de.javakaffee.msm/msm-kryo-serializer","de.javakaffee.msm","msm-kryo-serializer","https://github.com/magro/memcached-session-manager"
"pkg:maven/de.javakaffee.msm/memcached-session-manager","de.javakaffee.msm","memcached-session-manager","https://github.com/magro/memcached-session-manager"
"pkg:maven/de.javakaffee.msm/memcached-session-manager-tc7","de.javakaffee.msm","memcached-session-manager-tc7","https://github.com/magro/memcached-session-manager"
"pkg:maven/com.netflix.governator/governator-api","com.netflix.governator","governator-api","https://github.com/Netflix/governator"
"pkg:maven/com.netflix.governator/governator-test-junit","com.netflix.governator","governator-test-junit","https://github.com/Netflix/governator"
"pkg:maven/p6spy/p6spy","p6spy","p6spy","https://github.com/p6spy/p6spy"
"pkg:maven/com.netflix.governator/governator-jetty","com.netflix.governator","governator-jetty","https://github.com/Netflix/governator"
"pkg:maven/com.netflix.governator/governator-servlet","com.netflix.governator","governator-servlet","https://github.com/Netflix/governator"
"pkg:maven/com.netflix.governator/governator-commons-cli","com.netflix.governator","governator-commons-cli","https://github.com/Netflix/governator"
"pkg:maven/de.sciss/weblaf","de.sciss","weblaf","https://github.com/mgarin/weblaf"
"pkg:maven/com.github.tony19/logback-android-core","com.github.tony19","logback-android-core","https://github.com/tony19/logback-android"
"pkg:maven/com.mitchellbosecke/pebble","com.mitchellbosecke","pebble","https://github.com/PebbleTemplates/pebble"
"pkg:maven/com.klinkerapps/android-chips","com.klinkerapps","android-chips","https://github.com/klinker41/android-chips"
"pkg:maven/org.aeonbits.owner/owner","org.aeonbits.owner","owner","https://github.com/lviggiano/owner"
"pkg:maven/org.aeonbits.owner/owner-java8","org.aeonbits.owner","owner-java8","https://github.com/lviggiano/owner"
"pkg:maven/com.h3xstream.findsecbugs/findsecbugs-root-pom","com.h3xstream.findsecbugs","findsecbugs-root-pom","https://github.com/find-sec-bugs/find-sec-bugs"
"pkg:maven/org.mapsforge/mapsforge-map","org.mapsforge","mapsforge-map","https://github.com/mapsforge/mapsforge"
"pkg:maven/cc.mallet/mallet","cc.mallet","mallet","https://github.com/mimno/Mallet"
"pkg:maven/org.mapsforge/mapsforge-core","org.mapsforge","mapsforge-core","https://github.com/mapsforge/mapsforge"
"pkg:maven/org.mapsforge/mapsforge-map-android","org.mapsforge","mapsforge-map-android","https://github.com/mapsforge/mapsforge"
"pkg:maven/com.foxinmy/weixin4j-qy","com.foxinmy","weixin4j-qy","https://github.com/foxinmy/weixin4j"
"pkg:maven/com.h3xstream.findsecbugs/findsecbugs-plugin-deps","com.h3xstream.findsecbugs","findsecbugs-plugin-deps","https://github.com/find-sec-bugs/find-sec-bugs"
"pkg:maven/com.foxinmy/weixin4j-mp","com.foxinmy","weixin4j-mp","https://github.com/foxinmy/weixin4j"
"pkg:maven/org.mule.modules/mule-module-cxf","org.mule.modules","mule-module-cxf","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.modules/mule-module-ognl","org.mule.modules","mule-module-ognl","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.tests/mule-tests-infrastructure","org.mule.tests","mule-tests-infrastructure","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.transports/mule-transport-axis","org.mule.transports","mule-transport-axis","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.transports/mule-transport-email","org.mule.transports","mule-transport-email","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.transports/mule-transport-ssl","org.mule.transports","mule-transport-ssl","https://github.com/mulesoft/mule"
"pkg:maven/org.camunda.bpm/camunda-engine-cdi","org.camunda.bpm","camunda-engine-cdi","https://github.com/camunda/camunda-bpm-platform"
